Date and Time,Percipitation,Temperature,Wind_speed,Wind_direction
3/20/2021 1:00,0,14.9,1.2,Southeast
3/20/2021 2:00,0,15.1,1.4,Southwest
3/20/2021 3:00,0,16.3,1.8,East-southeast
3/20/2021 4:00,0,17,6.2,East
3/20/2021 5:00,0,17,3.5,East
3/20/2021 6:00,0,15.5,2.9,East
3/20/2021 7:00,0,14.2,1.7,East
3/20/2021 8:00,0,15.9,5.2,East-northeast
3/20/2021 9:00,0,18.5,4.6,East-southeast
3/20/2021 10:00,0.5,18.9,3.2,South
3/20/2021 11:00,0,19.8,1.1,South
3/20/2021 12:00,0,18.8,1.5,Northwest
3/20/2021 13:00,0,18.8,1.3,West
3/20/2021 14:00,0,19.3,1.3,Northwest
3/20/2021 15:00,0,18.1,2.6,North-northwest
3/20/2021 16:00,0.5,17.1,2,West-northwest
3/20/2021 17:00,1.5,16.7,2.3,North
3/20/2021 18:00,0,16.4,1.4,West-southwest
3/20/2021 19:00,0.5,16.2,1.3,North-northeast
3/20/2021 20:00,0,16.3,1.7,South-southeast
3/20/2021 21:00,0,16,1.1,South
3/20/2021 22:00,0,16,1.4,Southeast
3/20/2021 23:00,1,15.9,0.2,Quiet
44276,0,16,1.6,Southwest
3/21/2021 1:00,0.5,15.8,1.3,Southwest
3/21/2021 2:00,0,15.8,0.7,South-southeast
3/21/2021 3:00,0,16.4,2.4,Southwest
3/21/2021 4:00,0.5,16.1,2.5,South-southwest
3/21/2021 5:00,0,16.2,4.3,Southwest
3/21/2021 6:00,0,15.9,3.6,South-southwest
3/21/2021 7:00,0,15.1,6,West-southwest
3/21/2021 8:00,3,13.5,3.5,West-northwest
3/21/2021 9:00,1.5,13.1,3,West
3/21/2021 10:00,2,12.4,2.2,Northwest
3/21/2021 11:00,0.5,12.4,2.7,West-northwest
3/21/2021 12:00,0.5,12.3,1.9,West-northwest
3/21/2021 13:00,0,12.2,4.5,West
3/21/2021 14:00,0.5,11.4,4.4,West-northwest
3/21/2021 15:00,0,10.6,6,West-northwest
3/21/2021 16:00,0,10.5,4,West
3/21/2021 17:00,0,11.2,3.7,West-northwest
3/21/2021 18:00,0,10.5,4.2,West
3/21/2021 19:00,0,9.6,2.7,West-northwest
3/21/2021 20:00,0,9.1,2.8,West-northwest
3/21/2021 21:00,0,8.9,2.7,West
3/21/2021 22:00,0,8.8,4.1,West
3/21/2021 23:00,0,8.7,3.6,West
44277,0,8.1,2.6,West-northwest
3/22/2021 1:00,0,7.4,2.4,West
3/22/2021 2:00,0,6.9,2.9,West
3/22/2021 3:00,0,6.3,3.1,West-northwest
3/22/2021 4:00,0,6.2,1.4,West-southwest
3/22/2021 5:00,0,5.4,1.8,West-southwest
3/22/2021 6:00,0,5.3,1.8,West
3/22/2021 7:00,0,4.6,0.7,Southwest
3/22/2021 8:00,0,6.3,1.1,West-southwest
3/22/2021 9:00,0,6.9,1.7,West
3/22/2021 10:00,0,8.4,4.2,West-northwest
3/22/2021 11:00,0,9.4,5,West-northwest
3/22/2021 12:00,0,11.4,4.5,West
3/22/2021 13:00,0,10.5,5.3,West
3/22/2021 14:00,0,12,5.3,West
3/22/2021 15:00,0,11.9,6.1,West
3/22/2021 16:00,0,11,5.1,West-northwest
3/22/2021 17:00,0,10.1,6.4,West
3/22/2021 18:00,0,8.7,6,West-northwest
3/22/2021 19:00,0,6.9,4,West-northwest
3/22/2021 20:00,0,5.9,2.2,West-northwest
3/22/2021 21:00,0,2.6,1.6,Southeast
3/22/2021 22:00,0,2.5,1.3,East
3/22/2021 23:00,0,1.9,1.2,East
44278,0,2.2,1.1,East
3/23/2021 1:00,0,1.9,1,Northeast
3/23/2021 2:00,0,0.2,1.4,Northeast
3/23/2021 3:00,0,1.6,0.6,Northeast
3/23/2021 4:00,0,1.2,0.3,East-southeast
3/23/2021 5:00,0,1.9,1.8,East-northeast
3/23/2021 6:00,0,2.3,0.6,Southeast
3/23/2021 7:00,0,4.5,0.8,South
3/23/2021 8:00,0,8,1,South
3/23/2021 9:00,0,10.5,2.7,South-southwest
3/23/2021 10:00,0,10.8,2.1,South
3/23/2021 11:00,0,11.7,1.9,North-northwest
3/23/2021 12:00,0,13.5,3,South-southwest
3/23/2021 13:00,0,14.3,3.4,Southwest
3/23/2021 14:00,0,14.4,1.1,Southeast
3/23/2021 15:00,0,15.4,2.1,West-northwest
3/23/2021 16:00,0,15.3,3.1,Southwest
3/23/2021 17:00,0,14.9,2.2,Southwest
3/23/2021 18:00,0,13.1,1.7,Southwest
3/23/2021 19:00,0,9.3,1.8,South-southwest
3/23/2021 20:00,0,8.2,1.2,South-southeast
3/23/2021 21:00,0,7.2,2,East
3/23/2021 22:00,0,6.9,1.7,East
3/23/2021 23:00,0,4.7,2.5,East-northeast
44279,0,4.5,1.3,East
3/24/2021 1:00,0,5.9,2.3,East-northeast
3/24/2021 2:00,0,5.4,2.2,East-northeast
3/24/2021 3:00,0,5.8,0.9,Southeast
3/24/2021 4:00,0,5.1,2.1,East-northeast
3/24/2021 5:00,0,5.1,3.3,East-northeast
3/24/2021 6:00,0,5.2,3.4,East-northeast
3/24/2021 7:00,0,5.5,1,East
3/24/2021 8:00,0,9.2,0.1,Quiet
3/24/2021 9:00,0,12.4,1,East-northeast
3/24/2021 10:00,0,14.4,2.3,Southwest
3/24/2021 11:00,0,15,1.8,West-northwest
3/24/2021 12:00,0,15.8,3.1,South
3/24/2021 13:00,0,17.3,2.8,Southwest
3/24/2021 14:00,0,17,1.9,Southwest
3/24/2021 15:00,0,17.5,2,Southwest
3/24/2021 16:00,0,17.9,3.4,West
3/24/2021 17:00,0,17.2,2.2,Southwest
3/24/2021 18:00,0,15.9,0.6,Northwest
3/24/2021 19:00,0,15.6,1,Southeast
3/24/2021 20:00,0,14,2.6,East-northeast
3/24/2021 21:00,0,13.8,2.9,Northeast
3/24/2021 22:00,0,13.1,1.9,South-southwest
3/24/2021 23:00,0,12.4,0.9,North
44280,0,12.8,1.5,Southeast
3/25/2021 1:00,0,12.2,0.7,West-northwest
3/25/2021 2:00,0,11,0.9,South-southeast
3/25/2021 3:00,0,11.2,1,East-northeast
3/25/2021 4:00,0,10.9,1.5,East-northeast
3/25/2021 5:00,0,10.9,1.3,East-northeast
3/25/2021 6:00,0,11.1,1.5,North-northeast
3/25/2021 7:00,0,11.6,1.2,Northeast
3/25/2021 8:00,0,12.4,0.6,South-southeast
3/25/2021 9:00,0,12.8,0.4,South
3/25/2021 10:00,0,16.2,1.4,South-southeast
3/25/2021 11:00,0,18,1.6,North-northwest
3/25/2021 12:00,0,19.3,3.1,West-northwest
3/25/2021 13:00,0,20.1,1.7,West-southwest
3/25/2021 14:00,0,21.6,4.3,West-southwest
3/25/2021 15:00,0,21.1,4.1,South-southwest
3/25/2021 16:00,0,21.3,2.7,North-northwest
3/25/2021 17:00,0,20.8,3.5,North-northwest
3/25/2021 18:00,0,19,3.6,Northwest
3/25/2021 19:00,0,16.8,2.4,Northwest
